chrA	posA	chrB	posB	contactCount	p.value	q.value	interactionID	interactionID_final
3	113895000	10	135305000	5	3.479624e-17	8.524342e-10	interaction_24586	interaction_87
5	42515000	10	14415000	8	5.516022e-25	1.4614e-16	interaction_25334	interaction_88
10	15215000	21	40685000	5	1.636423e-16	2.575189e-09	interaction_25935	interaction_89
4	7915000	10	15225000	5	2.622836e-16	3.593175e-09	interaction_25942	interaction_90
10	15435000	18	20155000	5	6.865449e-16	7.028445e-09	interaction_26070	interaction_91
7	28245000	10	15585000	5	3.20225e-16	4.14316e-09	interaction_26160	interaction_92
4	17475000	10	15855000	6	5.281006e-18	1.990593e-10	interaction_26371	interaction_93
8	93315000	10	16075000	6	1.208285e-16	2.084611e-09	interaction_26521	interaction_94
10	16545000	13	105315000	6	8.014647e-18	2.774422e-10	interaction_26822	interaction_95
10	16575000	20	48095000	5	6.183058e-16	6.526318e-09	interaction_26857	interaction_96
6	125715000	10	16865000	5	3.88899e-17	9.279443e-10	interaction_27163	interaction_97
5	71785000	10	18255000	5	1.880471e-16	2.849704e-09	interaction_28027	interaction_98
5	18835000	10	18355000	5	2.050516e-16	3.025829e-09	interaction_28127	interaction_99
5	7965000	10	1855000	5	9.912392e-16	9.089958e-09	interaction_28244	interaction_100
10	18805000	13	35545000	6	2.258293e-19	1.485938e-11	interaction_28535	interaction_101
10	18875000	17	26055000	5	2.821312e-17	7.381377e-10	interaction_28577	interaction_102
10	195000	12	111025000	5	3.261996e-18	1.364806e-10	interaction_28744	interaction_103
10	19455000	16	20055000	5	4.531561e-17	1.036729e-09	interaction_29179	interaction_104
2	237835000	10	19785000	6	1.144171e-16	2.014715e-09	interaction_29565	interaction_105
6	7335000	10	19905000	6	9.565453e-18	3.170083e-10	interaction_29678	interaction_106
6	116315000	10	20065000	5	5.417388e-16	5.944694e-09	interaction_29824	interaction_107
10	20415000	12	56855000	5	7.309334e-16	7.349042e-09	interaction_30098	interaction_108
6	45425000	10	20745000	5	3.639185e-16	4.518518e-09	interaction_30457	interaction_109
9	21305000	10	21575000	5	2.127309e-16	3.115215e-09	interaction_31253	interaction_110
10	21595000	17	32145000	5	4.177327e-16	4.987702e-09	interaction_31255	interaction_111
9	37555000	10	23345000	5	5.019041e-16	5.646002e-09	interaction_32586	interaction_112
7	103045000	10	23415000	5	8.389122e-17	1.620544e-09	interaction_32633	interaction_113
3	44585000	10	23935000	6	3.174143e-19	1.977366e-11	interaction_33019	interaction_114
10	24675000	18	38205000	5	1.114676e-16	1.97865e-09	interaction_33467	interaction_115
5	30165000	10	26405000	5	4.146776e-17	9.738286e-10	interaction_34863	interaction_116
5	86305000	10	26635000	5	9.578633e-16	8.870353e-09	interaction_35074	interaction_117
10	26805000	12	42585000	5	1.166198e-16	2.035716e-09	interaction_35241	interaction_118
5	57625000	10	26935000	5	1.335546e-17	4.148749e-10	interaction_35342	interaction_119
10	27555000	15	26555000	5	2.22152e-17	6.128667e-10	interaction_35808	interaction_120
10	2775000	11	75245000	5	5.189223e-18	1.962415e-10	interaction_35911	interaction_121
6	142935000	10	27805000	5	8.917973e-16	8.434763e-09	interaction_35996	interaction_122
5	55685000	10	28035000	5	2.450885e-16	3.430959e-09	interaction_36178	interaction_123
7	70505000	10	28375000	7	3.889649e-22	6.16183e-14	interaction_36498	interaction_124
10	28435000	21	36415000	5	4.114753e-16	4.947479e-09	interaction_36555	interaction_125
3	197215000	10	28905000	5	7.334154e-17	1.473835e-09	interaction_36981	interaction_126
10	2895000	17	8295000	5	4.532056e-16	5.265052e-09	interaction_36986	interaction_127
7	85085000	10	29705000	6	2.584174e-18	1.128106e-10	interaction_37588	interaction_128
10	29795000	17	55305000	5	5.639008e-17	1.222158e-09	interaction_37642	interaction_129
10	30375000	18	56425000	5	6.841038e-16	7.01124e-09	interaction_38103	interaction_130
10	30735000	13	49415000	5	4.973626e-17	1.114089e-09	interaction_38341	interaction_131
2	38775000	10	30795000	5	1.5816e-17	4.725178e-10	interaction_38393	interaction_132
10	31495000	15	99375000	5	8.686055e-16	8.279965e-09	interaction_38863	interaction_133
10	31825000	16	2385000	5	8.491015e-16	8.149656e-09	interaction_39147	interaction_134
2	121655000	10	32475000	5	1.98313e-16	2.954766e-09	interaction_39626	interaction_135
9	3745000	10	33035000	5	2.769686e-17	7.275213e-10	interaction_40168	interaction_136
10	33525000	18	43215000	5	8.34734e-16	8.046941e-09	interaction_40559	interaction_137
3	143735000	10	33795000	6	1.166578e-18	5.890273e-11	interaction_40793	interaction_138
2	159075000	10	34275000	5	1.582807e-16	2.510009e-09	interaction_41203	interaction_139
10	34925000	11	104585000	5	7.434464e-16	7.422895e-09	interaction_41774	interaction_140
10	35005000	14	47305000	6	2.389032e-19	1.551158e-11	interaction_41817	interaction_141
10	35035000	20	35475000	5	3.835818e-17	9.185853e-10	interaction_41844	interaction_142
8	136075000	10	35345000	5	8.990447e-16	8.485319e-09	interaction_42050	interaction_143
4	77825000	10	35995000	5	1.184224e-17	3.760932e-10	interaction_42473	interaction_144
4	128435000	10	36125000	5	1.058692e-16	1.910913e-09	interaction_42599	interaction_145
10	36525000	11	83745000	5	2.244537e-16	3.220389e-09	interaction_42935	interaction_146
10	36545000	14	41835000	5	2.733524e-16	3.697563e-09	interaction_42956	interaction_147
10	36545000	20	9665000	5	2.909704e-17	7.497745e-10	interaction_42959	interaction_148
10	36835000	20	9715000	5	4.157019e-16	4.976182e-09	interaction_43210	interaction_149
2	215695000	10	37185000	5	9.283832e-16	8.686343e-09	interaction_43500	interaction_150
5	174025000	10	37185000	5	2.781349e-16	3.749986e-09	interaction_43518	interaction_151
10	37485000	17	11655000	5	4.570504e-17	1.043003e-09	interaction_43760	interaction_152
5	68435000	10	38345000	5	3.268153e-16	4.208348e-09	interaction_44306	interaction_153
10	42655000	13	58465000	5	1.405867e-16	2.314378e-09	interaction_44960	interaction_154
8	124745000	10	43005000	5	1.116382e-16	1.979286e-09	interaction_45104	interaction_155
5	41345000	10	43905000	5	2.336683e-16	3.311372e-09	interaction_45609	interaction_156
10	44355000	11	31895000	5	7.125819e-16	7.213301e-09	interaction_45864	interaction_157
10	44815000	19	47405000	5	9.15289e-19	4.800225e-11	interaction_46240	interaction_158
5	30185000	10	44825000	5	7.823993e-17	1.541908e-09	interaction_46244	interaction_159
2	172705000	10	45335000	5	5.733828e-18	2.123086e-10	interaction_46632	interaction_160
10	45385000	14	75445000	5	7.692852e-16	7.607945e-09	interaction_46673	interaction_161
10	45445000	11	66195000	5	3.702745e-17	8.959489e-10	interaction_46735	interaction_162
8	100635000	10	46005000	5	8.638692e-16	8.251073e-09	interaction_47181	interaction_163
10	46135000	11	86585000	5	4.583059e-16	5.303082e-09	interaction_47318	interaction_164
8	24605000	10	46155000	5	1.047622e-16	1.89866e-09	interaction_47329	interaction_165
10	4755000	13	24485000	5	8.877983e-17	1.683533e-09	interaction_47599	interaction_166
5	3025000	10	47555000	5	3.268986e-17	8.163449e-10	interaction_47619	interaction_167
10	48325000	20	47615000	5	9.713456e-17	1.790409e-09	interaction_47740	interaction_168
9	124285000	10	48615000	5	2.580683e-17	6.875133e-10	interaction_48003	interaction_169
10	505000	12	60405000	5	5.117935e-16	5.726507e-09	interaction_48608	interaction_170
8	28425000	10	52015000	5	8.09189e-16	7.874787e-09	interaction_49467	interaction_171
5	39355000	10	52135000	6	8.106513e-20	6.333946e-12	interaction_49578	interaction_172
4	144175000	10	52755000	5	1.721758e-16	2.67154e-09	interaction_50096	interaction_173
4	137605000	10	5375000	6	2.366434e-17	6.428429e-10	interaction_51038	interaction_174
10	53955000	22	44845000	6	6.233804e-20	5.050485e-12	interaction_51326	interaction_175
10	54255000	13	42305000	5	6.297374e-16	6.605305e-09	interaction_51571	interaction_176
2	123055000	10	55005000	5	2.086023e-16	3.068403e-09	interaction_52205	interaction_177
10	55105000	20	22815000	5	2.489967e-16	3.467831e-09	interaction_52286	interaction_178
10	55295000	22	34635000	5	2.28548e-17	6.263885e-10	interaction_52438	interaction_179
7	12385000	10	55705000	5	8.997586e-16	8.489161e-09	interaction_52788	interaction_180
4	123675000	10	55795000	6	3.359615e-20	3.013136e-12	interaction_52851	interaction_181
7	127525000	10	55815000	6	2.550455e-18	1.115499e-10	interaction_52888	interaction_182
2	1525000	10	55945000	5	6.120156e-17	1.300155e-09	interaction_52994	interaction_183
10	56545000	13	78835000	6	2.890887e-16	3.848318e-09	interaction_53595	interaction_184
7	22085000	10	5665000	5	5.044497e-18	1.921873e-10	interaction_53663	interaction_185
10	56725000	14	29905000	5	6.994157e-16	7.1298e-09	interaction_53753	interaction_186
4	45395000	10	57095000	6	6.670074e-17	1.381331e-09	interaction_54101	interaction_187
8	63815000	10	58965000	5	1.398551e-16	2.307122e-09	interaction_55766	interaction_188
2	170035000	10	59045000	5	3.577227e-16	4.462974e-09	interaction_55814	interaction_189
10	59165000	17	2645000	5	2.166309e-17	6.020506e-10	interaction_55929	interaction_190
5	5155000	10	5955000	5	1.607082e-16	2.536289e-09	interaction_56194	interaction_191
10	59705000	11	59165000	6	3.224058e-19	1.994981e-11	interaction_56349	interaction_192
10	60315000	12	62725000	5	2.517532e-16	3.494062e-09	interaction_56796	interaction_193
10	60315000	14	59005000	5	3.269857e-16	4.209366e-09	interaction_56797	interaction_194
2	49825000	10	60465000	5	1.964176e-16	2.932212e-09	interaction_56922	interaction_195
10	60685000	16	56165000	6	1.18731e-17	3.764368e-10	interaction_57110	interaction_196
2	157635000	10	60705000	5	3.894796e-16	4.743633e-09	interaction_57146	interaction_197
8	26395000	10	61585000	6	1.493227e-17	4.534099e-10	interaction_57895	interaction_198
10	61795000	13	90415000	6	3.289203e-18	1.37221e-10	interaction_58043	interaction_199
10	61975000	20	8255000	5	1.016802e-15	9.247122e-09	interaction_58208	interaction_200
5	9155000	10	62255000	6	8.714599e-18	2.956107e-10	interaction_58406	interaction_201
10	62475000	12	93635000	5	8.767906e-17	1.669219e-09	interaction_58597	interaction_202
6	131215000	10	63005000	5	1.061502e-16	1.914449e-09	interaction_59049	interaction_203
10	635000	14	73265000	6	1.079776e-18	5.524603e-11	interaction_59064	interaction_204
10	63155000	12	55205000	5	1.497636e-16	2.418201e-09	interaction_59181	interaction_205
10	63245000	20	39735000	5	1.649677e-16	2.585408e-09	interaction_59261	interaction_206
10	63865000	11	128845000	5	7.075236e-16	7.175228e-09	interaction_59817	interaction_207
6	2775000	10	64005000	6	2.825965e-18	1.218657e-10	interaction_59909	interaction_208
5	179105000	10	64705000	5	7.240128e-16	7.296967e-09	interaction_60561	interaction_209
4	1145000	10	6485000	5	5.692054e-16	6.150925e-09	interaction_60655	interaction_210
10	65055000	13	53365000	5	4.034614e-17	9.533162e-10	interaction_60809	interaction_211
7	106615000	10	6535000	5	7.102758e-17	1.442425e-09	interaction_61000	interaction_212
2	229925000	10	65785000	5	2.421347e-16	3.405183e-09	interaction_61304	interaction_213
10	65895000	14	84295000	5	1.839917e-17	5.291235e-10	interaction_61401	interaction_214
10	67755000	18	10315000	5	4.594912e-16	5.312797e-09	interaction_62946	interaction_215
4	55345000	10	67835000	5	9.777015e-16	8.99444e-09	interaction_63036	interaction_216
3	85835000	10	68175000	5	4.332191e-16	5.106367e-09	interaction_63271	interaction_217
10	69375000	13	64665000	5	2.52398e-16	3.497239e-09	interaction_64335	interaction_218
5	114995000	10	70475000	5	3.747587e-16	4.606941e-09	interaction_65016	interaction_219
4	147325000	10	70605000	5	6.653906e-16	6.879097e-09	interaction_65080	interaction_220
6	159825000	10	70725000	5	4.362316e-16	5.128762e-09	interaction_65182	interaction_221
4	138815000	10	70935000	5	2.921195e-18	1.248048e-10	interaction_65346	interaction_222
4	116215000	10	71355000	5	3.162383e-16	4.10194e-09	interaction_65613	interaction_223
10	71415000	15	20595000	5	8.090115e-16	7.874722e-09	interaction_65652	interaction_224
3	116165000	10	71875000	5	5.100358e-16	5.712386e-09	interaction_65980	interaction_225
5	20145000	10	71975000	5	1.534634e-16	2.453024e-09	interaction_66051	interaction_226
6	133635000	10	72035000	5	5.571906e-16	6.062303e-09	interaction_66104	interaction_227
10	72465000	18	71585000	5	5.649872e-16	6.11556e-09	interaction_66345	interaction_228
10	72605000	13	90515000	5	4.146526e-16	4.974006e-09	interaction_66404	interaction_229
10	72705000	11	120115000	5	7.181601e-16	7.250661e-09	interaction_66457	interaction_230
4	8915000	10	7285000	6	1.612158e-19	1.141613e-11	interaction_66558	interaction_231
10	7435000	20	12895000	5	7.603316e-17	1.511807e-09	interaction_67507	interaction_232
10	74705000	11	88535000	5	7.936143e-17	1.556804e-09	interaction_67838	interaction_233
8	17565000	10	74785000	5	6.172846e-16	6.520681e-09	interaction_67896	interaction_234
2	87045000	10	75335000	5	8.243749e-17	1.600123e-09	interaction_68370	interaction_235
8	69865000	10	75935000	5	4.259007e-16	5.056305e-09	interaction_68711	interaction_236
9	32595000	10	76145000	5	4.175255e-16	4.987702e-09	interaction_68906	interaction_237
4	150475000	10	76295000	5	4.301252e-17	9.99414e-10	interaction_69030	interaction_238
4	39045000	10	76325000	5	3.708715e-16	4.574923e-09	interaction_69045	interaction_239
7	8395000	10	76735000	7	5.281523e-22	8.052619e-14	interaction_69245	interaction_240
10	76775000	11	10215000	5	4.520996e-16	5.255011e-09	interaction_69262	interaction_241
5	64515000	10	76905000	5	9.737009e-16	8.966583e-09	interaction_69354	interaction_242
5	54555000	10	76965000	5	1.410162e-16	2.317546e-09	interaction_69401	interaction_243
10	77445000	13	37925000	5	8.192988e-17	1.592282e-09	interaction_69655	interaction_244
3	164055000	10	77485000	5	7.631017e-16	7.570107e-09	interaction_69688	interaction_245
8	131345000	10	77825000	5	2.627184e-16	3.596994e-09	interaction_70011	interaction_246
10	78055000	13	41505000	6	1.015688e-17	3.311334e-10	interaction_70199	interaction_247
7	124745000	10	79035000	5	7.446796e-16	7.430529e-09	interaction_71071	interaction_248
2	232735000	10	79645000	5	8.272672e-16	7.998376e-09	interaction_71549	interaction_249
10	81135000	12	32525000	5	1.084336e-16	1.937476e-09	interaction_72460	interaction_250
5	141005000	10	81335000	5	1.391372e-16	2.301589e-09	interaction_72571	interaction_251
6	53855000	10	81395000	5	2.20679e-17	6.091675e-10	interaction_72617	interaction_252
10	81735000	18	6675000	5	1.808712e-16	2.769179e-09	interaction_72720	interaction_253
9	28145000	10	82255000	5	6.089903e-16	6.448843e-09	interaction_72988	interaction_254
7	95605000	10	8255000	5	2.914454e-16	3.867802e-09	interaction_73131	interaction_255
9	76665000	10	82565000	5	2.33922e-16	3.313948e-09	interaction_73184	interaction_256
10	84525000	11	114535000	5	5.216997e-17	1.152375e-09	interaction_74769	interaction_257
6	95265000	10	86015000	5	7.292874e-16	7.340497e-09	interaction_75974	interaction_258
2	174975000	10	86065000	5	2.675388e-16	3.639469e-09	interaction_76006	interaction_259
10	86235000	14	57185000	5	6.707989e-16	6.922591e-09	interaction_76095	interaction_260
10	86515000	13	70085000	6	9.843659e-22	1.375102e-13	interaction_76266	interaction_261
2	180195000	10	86645000	5	4.83791e-16	5.506745e-09	interaction_76353	interaction_262
6	81765000	10	86855000	7	1.620122e-20	1.589067e-12	interaction_76544	interaction_263
7	51045000	10	87415000	5	3.936869e-17	9.345316e-10	interaction_76976	interaction_264
3	38115000	10	8855000	5	4.603139e-16	5.318308e-09	interaction_77483	interaction_265
3	96405000	10	88545000	5	1.112953e-17	3.5654e-10	interaction_77499	interaction_266
4	149545000	10	89315000	6	1.05563e-19	7.887128e-12	interaction_77792	interaction_267
6	81025000	10	89575000	5	5.890821e-16	6.305118e-09	interaction_78006	interaction_268
3	171525000	10	90095000	5	4.511081e-16	5.248781e-09	interaction_78505	interaction_269
10	9035000	12	116735000	5	5.072222e-16	5.6864e-09	interaction_78691	interaction_270
10	90435000	15	49195000	5	2.897441e-17	7.476892e-10	interaction_78786	interaction_271
4	187215000	10	90625000	5	1.360529e-16	2.274325e-09	interaction_78977	interaction_272
10	90935000	16	13465000	5	5.464862e-16	5.978289e-09	interaction_79230	interaction_273
10	9155000	13	51535000	5	1.46185e-16	2.37736e-09	interaction_79749	interaction_274
4	56915000	10	92045000	5	5.266423e-16	5.820207e-09	interaction_80270	interaction_275
10	92605000	20	38385000	6	1.288448e-17	4.024137e-10	interaction_80852	interaction_276
6	111695000	10	92775000	5	3.415153e-16	4.330327e-09	interaction_81010	interaction_277
10	92885000	11	20765000	5	3.878497e-16	4.73003e-09	interaction_81087	interaction_278
10	93295000	11	77695000	6	2.878196e-19	1.812308e-11	interaction_81481	interaction_279
10	93305000	19	58785000	5	5.49354e-16	6.001117e-09	interaction_81491	interaction_280
10	93525000	21	15915000	5	1.226343e-16	2.110411e-09	interaction_81695	interaction_281
3	96915000	10	93735000	6	5.42763e-20	4.532767e-12	interaction_81844	interaction_282
5	145365000	10	93765000	5	4.906569e-16	5.564288e-09	interaction_81892	interaction_283
2	42985000	10	94995000	5	2.934101e-17	7.526952e-10	interaction_82688	interaction_284
10	95095000	14	49835000	6	1.65323e-17	4.876034e-10	interaction_82751	interaction_285
10	95285000	12	52035000	5	1.582257e-16	2.509999e-09	interaction_82909	interaction_286
3	97085000	10	96075000	5	1.336424e-16	2.241918e-09	interaction_83496	interaction_287
5	51175000	10	96465000	5	7.598384e-16	7.545853e-09	interaction_83829	interaction_288
10	96645000	19	10315000	5	8.66971e-16	8.267804e-09	interaction_83903	interaction_289
5	104395000	10	96725000	5	2.632842e-16	3.600462e-09	interaction_83964	interaction_290
10	97225000	22	31575000	5	7.229167e-16	7.287512e-09	interaction_84296	interaction_291
4	180895000	10	98095000	5	6.37488e-16	6.660837e-09	interaction_85076	interaction_292
5	19575000	10	98465000	6	4.06261e-18	1.621494e-10	interaction_85376	interaction_293
10	98725000	15	68645000	5	2.055017e-17	5.757228e-10	interaction_85510	interaction_294
10	99485000	15	94835000	5	1.382289e-16	2.292993e-09	interaction_85868	interaction_295
1	100495000	11	17725000	6	7.748093e-19	4.184487e-11	interaction_86617	interaction_296
1	100555000	17	42775000	5	2.407381e-16	3.390714e-09	interaction_86664	interaction_297
1	101455000	22	26935000	5	1.531073e-16	2.450731e-09	interaction_87417	interaction_298
1	102135000	10	115765000	6	3.811684e-17	9.132802e-10	interaction_87925	interaction_299
1	103005000	18	52385000	5	1.087325e-17	3.495446e-10	interaction_88824	interaction_300
1	103485000	10	17675000	5	3.745281e-17	9.020586e-10	interaction_89271	interaction_301
1	103575000	5	51275000	6	4.457374e-17	1.024331e-09	interaction_89339	interaction_302
1	103715000	5	8755000	5	1.94716e-16	2.912469e-09	interaction_89480	interaction_303
1	105195000	4	175065000	5	7.840053e-16	7.707652e-09	interaction_90404	interaction_304
1	105565000	15	88535000	5	7.214186e-18	2.548409e-10	interaction_90665	interaction_305
1	105605000	3	107355000	5	4.440758e-16	5.19449e-09	interaction_90727	interaction_306
1	105935000	7	10335000	5	4.18523e-16	4.991856e-09	interaction_91071	interaction_307
1	106825000	15	54575000	5	2.379384e-16	3.356443e-09	interaction_91815	interaction_308
1	107255000	3	109675000	5	5.907289e-16	6.315412e-09	interaction_92130	interaction_309
1	107735000	20	33335000	6	7.147324e-21	7.844882e-13	interaction_92504	interaction_310
1	108355000	7	3275000	5	3.859945e-16	4.712392e-09	interaction_92952	interaction_311
1	108665000	15	48325000	5	5.972286e-16	6.359827e-09	interaction_93186	interaction_312
1	109395000	4	171515000	5	6.427354e-16	6.700477e-09	interaction_93596	interaction_313
1	109515000	14	33085000	5	1.007862e-15	9.196304e-09	interaction_93667	interaction_314
1	109995000	9	114185000	5	7.409943e-16	7.408188e-09	interaction_93936	interaction_315
7	40315000	11	100025000	5	1.093425e-18	5.57484e-11	interaction_93971	interaction_316
8	122805000	11	100045000	6	7.104796e-17	1.442425e-09	interaction_93997	interaction_317
2	103005000	11	10025000	5	8.813849e-16	8.363736e-09	interaction_94134	interaction_318
6	143275000	11	100235000	5	3.6246e-16	4.504061e-09	interaction_94171	interaction_319
1	110085000	14	103345000	5	4.035703e-16	4.874043e-09	interaction_94641	interaction_320
6	33315000	11	10105000	5	1.412961e-16	2.319658e-09	interaction_94850	interaction_321
8	83385000	11	101265000	5	2.286343e-16	3.262728e-09	interaction_95081	interaction_322
1	110135000	8	25695000	6	3.842554e-21	4.589072e-13	interaction_95120	interaction_323
